draw,flips,value_gain
144,4,0.010427745481845427
145,5,-0.02570629822283708
146,3,0.011573639245879662
147,4,-0.0320619498234058
148,4,0.0013394753259253736
149,3,-0.002434733232095337
150,4,0.042480114921539615
151,4,0.0390081310739158
152,5,0.013087469311759574
153,4,-0.00738621093015798
154,4,0.04283674326792383
155,5,-0.007016390761640955
156,5,0.0033279449742697805
157,3,0.004976416585066963
158,6,0.026382800687717468
159,4,0.022744790599820274
160,6,0.011720907747347553
161,5,0.02757103542253606
162,4,0.013690724927732406
163,3,-0.026932789815887773
164,5,-0.003373007010432655
165,3,0.023767359598545916
166,7,-0.024770693161480964
167,5,0.024062305571980618
168,7,0.027864548121651116
169,5,0.03211727542091343
170,4,-0.012461025933264416
171,5,0.0005070891368595693
172,5,0.03313325542872189
173,5,0.043201508461627174
174,4,0.020713092506910176
175,5,-0.007828794158395276
176,5,-0.008649751257323056
177,5,0.011390901500398941
178,5,0.016872664269303502
179,4,-0.0002721657781199249
180,4,0.009026715593880064
181,5,0.00961099345205689
182,6,0.007377160090252197
183,4,-0.007792756138304711
184,5,0.014117307131118565
185,5,-0.00082205350669801
186,3,-0.00800346990097506
187,8,-0.019561899400583248
188,4,-0.004021238011343795
189,5,-0.017584731893591943
190,4,-0.013813936116285893
191,3,0.004062410675794624
192,5,0.02231088802508879
193,5,-0.006818436320064593
194,5,0.009146251875239146
195,4,0.007890417707500187
196,4,0.004319352169961605
197,4,-0.003808792404049347
198,5,0.0017872440652582145
199,4,-0.013921738385411376
200,4,-0.004751707743987787
201,4,-0.001680319778382694
202,5,0.0006153314587656203
203,4,0.025967008243219118
204,4,-0.008610907646770362
205,4,0.009065512380543728
206,5,0.040318241556833355
207,4,0.00028898942217638464
208,5,0.019145984132079522
209,3,0.010296113097147064
210,5,-0.029146544208876482
211,3,0.003064780269150854
212,2,0.0013848828099717323
213,5,0.011031252880390465
214,2,-0.008933551935723445
215,2,0.004497713885345856
216,5,-0.003676680254139132
217,5,-0.0074989363762950284
218,3,0.009102408668921813
219,5,-0.0019988093985395697
220,7,0.019482416163437072
221,4,0.012826723333936828
222,5,-0.008015242034359646
223,4,0.032449505708229964
224,5,-0.008575582395552327
225,3,0.011140580246796188
226,4,0.0106139746409578
227,6,0.027644561745318128
228,3,-0.005814881503854359
229,4,-0.023643477353142407
230,3,-0.00970356425488352
231,7,0.012561700731693298
232,4,0.026991293845103865
233,4,0.01076887304577762
234,5,0.025169636627806396
235,4,-0.014006298951357495
236,4,-0.013351510013661357
237,5,0.0033906883744023054
238,3,0.004582434563877807
239,4,-0.017054290600751094
240,6,0.021898512579767174
241,5,0.0049374532924185595
242,4,-0.00207020670317015
243,4,0.040515349919942954
244,5,0.009613925544749295
245,6,0.02426141541990652
246,5,0.008020670096156176
